TimeLeaf,QPALeaf,QPAsdLeaf,QPBLeaf,QPBsdLeaf,QPALeaflitter,QPBLeaflitter
1,0.59073724,0.099961399,0.498109641,0.101849269,-0.068384059,0.714099845
2,1.043073184,0.579905103,0.372333243,0.082440706,-2.328879891,-0.881529659
3,1.449460692,0.5331394,0.83981986,0.110021838,-2.786026878,-0.946126372
4,1.070415879,0.17416262,0.574984247,0.145351657,-2.189110175,-1.731426637
5,1.478812224,0.280221578,1.248818526,0.284498848,-2.120480936,-1.023895647
6,0.758169052,0.229018575,0.76289495,0.117823371,-1.931042585,-1.155725351
7,1.390764245,0.250961777,1.306373211,0.290802356,-2.680962702,-1.592679052
8,1.199747952,0.242011095,1.554505356,0.210083591,-0.064081888,-0.788258216
9,1.76248193,0.580868511,1.980707217,0.560306114,-1.897907023,-1.643160676
10,2.046457009,0.758053083,2.468637223,0.356263767,-2.603476724,-1.073264013
11,1.340765039,0.280990696,2.434115423,0.463658317,-1.808288817,-1.256619939
12,1.126654064,0.205524452,1.622243226,0.341949372,-1.496896265,-0.840765857
13,1.44361413,0.538187745,1.993442817,0.666325894,-1.388419861,-0.502305706
14,1.640181947,0.360466191,1.556297259,0.395957631,-0.975554355,-0.598869913
15,1.389020164,0.241262523,1.147408633,0.239531817,-0.563222204,-0.70151056
16,1.552930057,0.31502291,2.050724638,0.401104036,-1.874568497,-1.162473227
17,5.859557434,2.403493734,8.419882131,1.41485567,-1.635387568,-0.817998155
18,1.242281033,0.45354203,2.860743541,0.383803608,-0.964295837,-0.947264438
19,0.129568368,0.033424621,0.58010397,0.263900544,-1.436566602,-0.909921175
20,0.082028085,0.024831559,0.543815825,0.237729981,-1.528617516,-1.015944272
21,0.149004781,0.055874872,0.247970644,0.127132543,-1.038668681,-1.49645676
22,0.159589937,0.068658113,0.503126363,0.304110587,-1.296084225,-0.894219391
23,0.192875709,0.036016809,0.44098535,0.18678471,-1.025272634,-0.936551829
24,0.091115312,0.02916413,0.284877127,0.086941932,-1.462258184,-0.977840436
25,1.248,0.983084824,0.636814745,0.108637133,-1.692719274,-1.102238876
26,0.199373819,0.056649977,0.270853025,0.059689233,-1.101880444,-1.236164349
27,0.098456207,0.019787275,0.478890989,0.101851422,-1.460865194,-1.30339163
28,0.218066433,0.052082207,0.398663246,0.049699433,-1.326049954,-1.110259713
29,0.297731569,0.111237841,0.604239806,0.10664985,-2.309204982,-1.592403782
30,0.331845238,0.095440684,0.847619048,0.212633623,-0.845875434,-0.818693844
31,0.501465201,0.240573465,0.76959707,0.154185383,-2.496946606,-1.517424033
32,0.757380952,0.228660821,0.69452381,0.171529236,-2.02905874,-0.461633536
33,0.204081633,0.054795788,0.438019652,0.109880527,-1.196873421,-0.887032296
34,0.25922619,0.067177351,0.618154762,0.094439078,-1.531451717,-0.899936415
35,0.507142857,0.155367235,0.543197279,0.124919491,-0.72934707,-1.181668619
36,0.316246499,0.048668343,0.563865546,0.132877372,-0.086426674,-0.760226407
37,0.288435374,0.071797987,0.507142857,0.093128633,-0.377801854,-0.510525117
38,0.470793651,0.135493586,0.313650794,0.071667326,-0.272057856,-0.276555603
39,0.363945578,0.067979953,0.572789116,0.099752884,-0.764427854,-0.270391739
40,0.477142857,0.124955119,0.549047619,0.159410921,-0.711553981,-0.763202415
41,0.308225108,0.086133529,0.526839827,0.146,-0.588483589,-0.514927158
42,0.244782313,0.05523807,0.465214286,0.119,-0.285349165,-0.207406064
43,0.441955026,0.182521104,0.406902116,0.096,-1.034183952,-0.514130386
44,0.308654762,0.080066252,0.380446429,0.087,-0.822725638,-0.787170279
45,0.353201465,0.201275965,0.461497802,0.163,-0.957551806,-0.998968675
46,0.132142857,0.034386447,0.284955556,0.067,-0.800872387,-0.728808123
47,0.570899471,0.238726969,0.617724868,0.253,-0.363194452,-0.590584485
48,0.10952381,0.027257665,0.307142857,0.077,-0.285302989,-1.133567269
49,0.174867725,0.058827596,0.882804233,0.685,-1.684889811,-1.020126191
50,0.401904762,0.100135347,0.576920635,0.172,-1.350165465,-1.035483352
51,0.287619048,0.064348196,0.56952381,0.147,-1.228767367,-1.252052964
52,0.641456583,0.255463959,0.429691877,0.062,-1.956237526,-1.701579112
53,1.220068027,0.348380082,0.654918367,0.168,-0.735067549,-1.237738968
54,0.911677871,0.22643556,0.840680672,0.237,-0.066328907,-0.133874299
55,1.013363946,0.35132029,1.062289116,0.238,-0.701353914,-0.235070008
56,0.619343915,0.107473237,1.068857143,0.372,-1.43403659,-1.495950815
57,0.519781746,0.323160247,0.653,0.3807,-0.890120798,-0.974074072
58,0.738488095,0.596567616,0.837,0.4388,-1.076811082,-1.988234189
59,0.999984127,0.975526426,1.1383,0.6741,-0.958611154,-1.168609357
60,0.472909774,0.295694043,0.8377,0.4832,-1.10866664,-1.183993913
61,0.522325397,0.43174149,0.6375,0.5127,-1.978023422,-1.459642787
62,0.510574603,0.39807605,0.5158,0.2002,,
63,0.597178571,0.297528865,0.6758,0.8342,,
64,0.925092857,0.617673559,0.776,0.5786,,
65,1.000030303,1.733221535,0.4509,0.2278,,
66,0.246706349,0.239852015,0.505,0.3357,,
67,0.344785714,0.304834377,0.4973,0.3515,,
68,0.38928869,0.484358239,0.4005,0.4993,,
69,0.188076923,0.212193945,0.2555,0.2874,,
70,0.637797619,0.709305347,0.4063,0.5119,,
71,1.244836735,1.682743012,1.2252,2.0799,,
72,0.659666667,0.583326857,1.1073,2.0187,,
73,0.317047619,0.280640309,0.3138,0.2833,,
74,0.546190476,0.556607879,0.5288,0.5008,,
75,0.453174603,0.294040706,0.1918,0.3355,,
76,0.510034014,0.512477581,0.4353,0.4517,,
77,0.438965986,0.45893701,0.4287,0.2832,,
78,0.18402381,0.172804124,0.3254,0.2888,,
